,name,cat,food_cat,food_rank,service_rank,price_rank,review_num,ranking_pos,ad_cat,pri_rate,address
0,Bliss,restaurant,Italian,30,30,30,26,6598,Itaewon,3.5,"119-7, Itaewon 1-dong, Yongsan-gu, Seoul South Korea"
1,Pyeonggaok,restaurant,Asian,45,30,30,19,6827,Yangjae-dong,3.5,"69, Nonhyeon-ro, Seocho-gu Sangho Bldg., Seoul 06775 South Korea"
2,Dongseong Restaurant,restaurant,Chinese,40,35,35,11,6944,Jongno-gu,3.5,"29-2, Saemunan-ro9-Gil, Seoul South Korea"
3,Siti Sarah,restaurant,Asian,40,35,35,16,7345,Itaewon,3.5,"7, Usadan-ro 10-gil, Yongsan-gu, Seoul 04405 South Korea"
4,Foreign Restaurant,restaurant,Asian,30,35,35,22,7395,Itaewon,3.5,"136-45 Itaewon Dong Yongsangu, Seoul South Korea"
5,Pho Bay Apgujeong Main Store,restaurant,Asian,35,35,35,16,7415,Gangnam-gu,3.5,"1F Daemyeong Bldg. 637-15 Sinsa-dong, Gangnam-gu, Seoul South Korea"
6,Ippudo 3,restaurant,Japanese,40,35,30,7,7719,Gangnam / Nonhyeon / Yeoksam,3.5,"19, Teheran-ro 1-gil, Gangnam-gu Lohas Avenue Bldg.1F, Seoul 06134 South Korea"
7,Crow's Nest Itaewon,restaurant,Pizza,40,40,40,9,7837,Itaewon,3.5,"8, Itaewon-ro 27ga-gil, Yongsan-gu, Seoul 04350 South Korea"
8,Pho Bay Myeongdong,restaurant,Asian,30,35,30,11,9136,Myeongdong / Namdaemun,3.5,"199-40, Euljiro 2-ga, Jung-gu 1F, Art Nouveau Centum, Seoul South Korea"
9,Nwijo,restaurant,Asian,35,30,30,21,9138,Jongno-gu,3.5,"84-13 Gwanhun-dong, Jongno-gu Insadong 14-gil, Seoul South Korea"
10,Samrikand,restaurant,European,40,45,35,11,9478,Jung-gu,3.5,"159-10 Mareunnae-ro, Jung-gu, Seoul 04561 South Korea"
11,Suwon Wanggalbi,restaurant,Asian,30,35,25,19,9771,Myeongdong / Namdaemun,3.0,"32-1, Myeong-dong 2-ga, Jung-gu, Seoul South Korea"
12,Mist,restaurant,Japanese,35,35,30,19,9787,Guro-gu,3.0,"360-51, Sindorim-dong, Guro-gu D Cube City 5F, Seoul South Korea"
13,Taipan,restaurant,Chinese,40,40,20,11,10886,Jung-gu,3.5,"50, Sowol-ro, Jung-gu B1F, Millennium Seoul Hilton Hotel, Seoul 04637 South Korea"
14,New Delhi,restaurant,Indian,50,50,50,129,2,Gangnam-gu,5.0,"28, Nonhyeon-ro 176-gil, Gangnam-gu Sinsadong, Seoul 06022 South Korea"
15,Cleo,restaurant,European,50,45,50,266,3,Itaewon,5.0,"1F, Seoul 04392 South Korea"
16,853,restaurant,Barbecue,50,45,45,176,6,Jongno-gu,4.5,"16, Insa-dong 12-gil, Jongno-gu Near By Samjigil, Seoul 03146 South Korea"
